,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
157,Salta,Anta,General Pizarro,1604,False,False,False,True,True,True,False,False,True,66007080.0,-24.2342248497577,-63.9910915395849
158,Salta,Anta,Joaquín V. González,16329,True,True,False,True,True,False,True,True,True,66007090.0,-25.1294324707809,-64.1385893694805
159,Salta,Anta,Las Lajitas,9887,False,True,False,True,True,True,True,True,True,66007100.0,-24.7331988444238,-64.1994831202005
160,Salta,Anta,Luis Burela,1070,False,False,False,False,False,True,False,False,False,66007110.0,-24.397713500488,-63.9961108041489
161,Salta,Anta,Macapillo,90,False,False,False,False,False,False,False,False,False,66007120.0,-25.421569027557,-63.9896049019406
162,Salta,Anta,Nuestra Señora de Talavera,1328,False,False,False,False,False,False,False,True,True,66007130.0,-25.481072557645,-63.7880008281707
163,Salta,Anta,Piquete Cabado,681,False,False,False,False,True,True,False,False,False,66007140.0,-24.8260406674686,-64.1855790667322
164,Santa Fe,General Obligado,El Rabón,865,False,True,False,False,True,True,False,False,True,82049050.0,-28.2302084157377,-59.2639844821107
165,Santa Fe,General Obligado,Florencia,5982,True,True,False,False,True,True,True,True,True,82049060.0,-28.0427359947317,-59.2187469070082
166,Santa Fe,General Obligado,Guadalupe Norte,654,True,False,False,False,False,False,True,False,True,82049070.0,-28.9453022044499,-59.5634151929235
167,Santa Fe,General Obligado,Ingeniero Chanourdie,319,False,False,False,False,True,True,True,False,False,82049080.0,-28.759813885955,-59.5772324985847
168,Santa Fe,General Obligado,La Isleta,210,False,False,False,False,True,False,False,False,False,82049090.0,-28.493935731005,-59.2950745667521
169,Santa Fe,General Obligado,La Sarita,483,False,False,False,False,False,True,True,False,True,82049100.0,-28.9728525913241,-59.8484991818248
170,Santa Fe,General Obligado,Lanteri,907,False,False,False,False,False,True,True,True,True,82049110.0,-28.8429706211446,-59.6379287718138
171,Santa Fe,General Obligado,Las Garzas,1123,True,False,False,False,False,False,True,False,True,82049120.0,-28.8490101824631,-59.5005781021303
172,Santa Fe,General Obligado,Las Toscas,10838,True,True,False,True,True,True,True,True,True,82049130.0,-28.3540749299597,-59.2595521000375
173,Santa Fe,General Obligado,Los Laureles,364,False,False,False,False,False,False,True,False,True,82049140.0,-29.3701211027814,-59.7378677770758
174,Santa Fe,General Obligado,Malabrigo,6734,True,True,False,False,False,True,True,True,True,82049150.0,-29.3506755184496,-59.9705883109423
175,Santa Fe,General Obligado,Paraje San Manuel,164,False,False,False,False,True,False,True,False,False,82049160.0,-28.8716623885107,-59.86560439575
176,Santa Fe,General Obligado,Puerto Reconquista,1144,False,False,False,False,False,False,True,False,False,82049170.0,-29.2349873699001,-59.5802691789886
177,Santa Fe,La Capital,Arroyo Leyes,2420,False,True,False,True,False,True,False,False,False,82063030.0,-31.5577005393669,-60.5166665613111
178,Santa Fe,La Capital,Cabal,54,False,False,False,False,False,True,False,False,False,82063040.0,-31.1039907773825,-60.7271526484511
179,Santa Fe,La Capital,Campo Andino,313,False,False,False,False,False,False,True,False,False,82063050.0,-31.2410698890417,-60.531189241674
180,Santa Fe,La Capital,Candioti,888,False,False,False,True,False,True,True,False,False,82063060.0,-31.3995244031815,-60.7491149288676
181,Santa Fe,La Capital,Emilia,691,True,False,False,True,False,True,True,False,True,82063070.0,-31.0610951750412,-60.7464379477764
182,Santa Fe,La Capital,Laguna Paiva,12334,True,False,False,False,False,True,True,True,True,82063080.0,-31.3092619266382,-60.6607816085928
183,Santa Fe,La Capital,Llambi Campbell,2260,True,False,False,False,False,True,True,True,True,82063090.0,-31.1862574038904,-60.7484785939749
184,Santa Fe,La Capital,Monte Vera,5726,True,False,False,False,True,False,True,True,True,82063100.0,-31.5184864327594,-60.6780997937426
185,Santa Fe,La Capital,Nelson,4206,True,False,False,True,False,True,True,True,True,82063110.0,-31.2670754515365,-60.7621355398529
186,Santa Fe,La Capital,Paraje Chaco Chico,139,False,False,False,False,False,False,False,True,True,82063120.0,-31.567299963712,-60.6617466185791
187,Santa Fe,La Capital,Paraje La Costa,67,False,False,False,False,False,False,False,False,False,82063130.0,-31.5177974435199,-60.6115160069236
188,Santa Fe,La Capital,Recreo,12774,True,True,False,True,False,True,True,True,True,82063140.0,-31.4935807560402,-60.735411088708
189,Santa Fe,La Capital,RINCON NORTE,0,False,False,False,False,False,False,False,False,False,82063070.0,-31.5644326802115,-60.414954582383
190,Santa Fe,La Capital,Rincón Potrero,589,False,False,False,False,False,False,False,False,False,82063150.0,-31.5286179375841,-60.4756662346225
191,Santa Fe,Las Colonias,Progreso,2118,False,False,False,False,False,True,True,True,True,82070190.0,-31.1397689545802,-60.990254156931
192,Santa Fe,Las Colonias,Providencia,663,False,False,False,False,False,True,True,False,True,82070200.0,-30.9845868369063,-61.0218281498813
193,Santa Fe,Las Colonias,Sa Pereyra,1533,True,False,False,False,False,True,True,False,False,82070210.0,-31.5721513951563,-61.3782231110791
194,Santa Fe,Las Colonias,San Agustín,630,False,False,False,False,False,True,True,True,True,82070220.0,-31.6847778866246,-60.9413147450231
195,Santa Fe,Las Colonias,San Carlos Centro,10717,True,True,False,True,False,True,True,True,False,82070230.0,-31.7284179989089,-61.0913957859145
196,Santa Fe,Las Colonias,San Carlos Norte,812,False,True,False,True,False,True,True,False,False,82070240.0,-31.6743105766747,-61.0762585195433
197,Santa Fe,Las Colonias,San Carlos Sud,1927,True,True,False,True,False,True,True,True,True,82070250.0,-31.7575954064363,-61.1007514980914
198,Santa Fe,Las Colonias,San Jerónimo del Sauce,742,False,False,False,True,False,True,True,True,True,82070260.0,-31.6112124759047,-61.1425180717315
199,Santa Fe,Las Colonias,San Jerónimo Norte,5962,True,False,False,True,False,True,True,True,True,82070270.0,-31.5545316682675,-61.078514153956
200,Santa Fe,Las Colonias,San Mariano,218,False,False,False,False,False,False,True,False,False,82070280.0,-31.6702105890861,-61.3480211476449
201,Santa Fe,Las Colonias,Santa Clara de Buena Vista,2540,False,True,False,False,False,False,True,True,True,82070290.0,-31.7657963305203,-61.3210236384566
