Fecha,Año,Trimestre,Provincia,Otros,veloc_muyBaja,veloc_baja,veloc_media,veloc_alta,veloc_muyAlta
2021-01-01,2021,1,Formosa,1942,13043,16991,9131,9293,286
2021-01-01,2021,1,Jujuy,2378,10104,31148,41217,24650,949
2021-01-01,2021,1,La Pampa,2424,19163,57753,10344,7219,1
2021-01-01,2021,1,La Rioja,0,1871,40864,4819,5017,57
2021-01-01,2021,1,Mendoza,44,8960,136710,56604,16198,407
2021-01-01,2021,1,Misiones,8256,21204,45823,41151,31816,1130
2021-01-01,2021,1,Neuquén,5758,9726,55331,11588,48540,2288
2021-01-01,2021,1,Río Negro,20103,10912,63877,16692,29149,435
2021-01-01,2021,1,Salta,6319,19236,89827,17303,53300,1589
2021-01-01,2021,1,San Juan,4641,7975,53541,11834,266,10
2021-01-01,2021,1,San Luis,36917,2133,12740,67344,1,16
2021-01-01,2021,1,Santa Cruz,0,15309,21785,8324,633,14
2021-01-01,2021,1,Santa Fe,24382,74804,332369,157330,230795,6108
2021-01-01,2021,1,Santiago Del Estero,4144,16242,77138,9249,4785,81
2021-01-01,2021,1,Tierra Del Fuego,11836,694,22170,4803,917,1
2021-01-01,2021,1,Tucumán,2680,12848,83439,29443,101506,1929
2020-10-01,2020,4,Buenos Aires,9016,205855,1214389,426876,2052536,122492
2020-10-01,2020,4,Capital Federal,268,13256,225456,140483,915838,84192
2020-10-01,2020,4,Catamarca,2309,3803,13851,12027,19840,566
2020-10-01,2020,4,Chaco,7965,11501,35812,42503,39085,1856
2020-10-01,2020,4,Chubut,4402,28719,81477,14864,1111,1
2020-10-01,2020,4,Córdoba,13568,85315,267415,152241,373313,10845
2020-10-01,2020,4,Corrientes,4985,15076,43739,35070,25413,1376
2020-10-01,2020,4,Entre Ríos,14654,24585,97646,57355,51452,1666
2020-10-01,2020,4,Formosa,1680,13188,18014,8378,8725,221
2020-10-01,2020,4,Jujuy,2811,10191,28191,45376,18353,919
2020-10-01,2020,4,La Pampa,2520,19274,59886,8905,6109,0
2020-10-01,2020,4,La Rioja,0,1920,41065,4814,4930,49
2020-10-01,2020,4,Mendoza,2570,12891,144661,43784,11201,346
2020-10-01,2020,4,Misiones,7001,19661,46980,41255,31179,1078
2020-10-01,2020,4,Neuquén,5720,9782,55573,11292,48580,2184
2020-10-01,2020,4,Río Negro,20146,10960,64089,16648,28973,394
2020-10-01,2020,4,Salta,6319,19975,90920,23479,45318,1379
2020-10-01,2020,4,San Juan,4588,8217,54058,5458,265,10
2020-10-01,2020,4,San Luis,36918,2618,14950,64929,1,16
2020-10-01,2020,4,Santa Cruz,758,13252,18350,7667,633,14
2020-10-01,2020,4,Santa Fe,23602,78376,332872,159399,220549,5676
2020-10-01,2020,4,Santiago Del Estero,3932,16270,76870,5077,4450,68
2020-10-01,2020,4,Tierra Del Fuego,6690,721,27296,3985,921,0
2020-10-01,2020,4,Tucumán,2680,13255,85235,36260,91760,1832
2020-07-01,2020,3,Buenos Aires,19853,219581,1198008,413137,1985902,98338
2020-07-01,2020,3,Capital Federal,247,14315,233566,146787,907256,70473
2020-07-01,2020,3,Catamarca,2154,3333,13774,11757,18374,512
2020-07-01,2020,3,Chaco,7194,10592,35781,41297,37203,1526
2020-07-01,2020,3,Chubut,3942,28475,81465,15035,1109,1
2020-07-01,2020,3,Córdoba,11728,86171,260493,148065,352825,8188
2020-07-01,2020,3,Corrientes,5020,19762,39342,33923,24311,1033
2020-07-01,2020,3,Entre Ríos,15759,28149,93018,55174,48203,1192
2020-07-01,2020,3,Formosa,1737,13769,17368,8116,8105,114
2020-07-01,2020,3,Jujuy,3065,20483,22451,45491,14358,879
2020-07-01,2020,3,La Pampa,4029,15875,59743,7713,5333,0
2020-07-01,2020,3,La Rioja,2,1976,41106,4784,4719,29
2020-07-01,2020,3,Mendoza,45,8630,144995,45891,8025,202
2020-07-01,2020,3,Misiones,8779,20261,43554,39605,30195,788
2020-07-01,2020,3,Neuquén,803,13238,54331,11432,47679,1748
2020-07-01,2020,3,Río Negro,19093,11746,61589,10578,28294,167
2020-07-01,2020,3,Salta,14996,15473,82686,23918,42806,967
2020-07-01,2020,3,San Juan,4150,12003,54476,6570,128,0
2020-07-01,2020,3,San Luis,36917,2016,13639,63987,3,0
2020-07-01,2020,3,Santa Cruz,833,13243,17726,7359,120,0
2020-07-01,2020,3,Santa Fe,27001,88165,326378,150900,206320,4232
2020-07-01,2020,3,Santiago Del Estero,4801,14779,76968,4950,3950,44
2020-07-01,2020,3,Tierra Del Fuego,6992,717,26802,4207,936,0
2020-07-01,2020,3,Tucumán,2637,13894,86713,36372,82599,1595
2020-04-01,2020,2,Buenos Aires,21233,217816,1221904,421244,1813917,80061
2020-04-01,2020,2,Capital Federal,687,15527,246108,160024,876065,59379
2020-04-01,2020,2,Catamarca,3176,3482,14072,10668,16125,453
2020-04-01,2020,2,Chaco,6969,10809,35556,41126,32169,1142
2020-04-01,2020,2,Chubut,3999,10086,81947,12010,614,0
2020-04-01,2020,2,Córdoba,8971,87701,261807,152752,319487,5748
2020-04-01,2020,2,Corrientes,5020,18138,39548,33742,21664,754
2020-04-01,2020,2,Entre Ríos,14569,27426,93781,54946,42636,755
2020-04-01,2020,2,Formosa,1313,13977,17208,7959,7433,42
2020-04-01,2020,2,Jujuy,16557,18360,22944,27038,9319,97
2020-04-01,2020,2,La Pampa,1123,18528,61324,5457,3377,0
2020-04-01,2020,2,La Rioja,2,2048,41010,4759,4315,21
2020-04-01,2020,2,Mendoza,2450,8764,146026,38532,5277,135
2020-04-01,2020,2,Misiones,8646,20525,43656,38750,28179,580
2020-04-01,2020,2,Neuquén,0,13240,54579,11929,45128,1292
2020-04-01,2020,2,Río Negro,17057,12739,61993,10771,26848,78
